Designator, Mid X, Mid Y, Layer, Rotation
C1, 9.79mm, 11.30mm, Top, 90
C2, 23.88mm, 11.94mm, Top, 90
C3, 24.44mm, 23.65mm, Top, 90
C4, 7.97mm, 29.01mm, Top, 180
C5, 36.90mm, 20.50mm, Top, 180
C6, 36.90mm, 23.00mm, Top, 180
C7, 36.90mm, 17.60mm, Top, 180
C8, 35.30mm, 27.20mm, Top, 90
IC1, 15.88mm, 15.37mm, Top, 90
IC2, 29.85mm, 15.37mm, Top, 90
IC3, 15.88mm, 28.07mm, Top, 90
IC4, 29.85mm, 28.07mm, Top, 90
IC5, 38.20mm, 26.70mm, Top, 180
IC6, 8.60mm, 25.60mm, Top, 0
R1, 4.45mm, 7.75mm, Top, 90
R2, 6.99mm, 7.75mm, Top, 90
R3, 9.53mm, 7.75mm, Top, 90
R4, 12.07mm, 7.75mm, Top, 90
R5, 14.61mm, 7.75mm, Top, 90
R6, 17.14mm, 7.75mm, Top, 90
R7, 19.69mm, 7.75mm, Top, 90
R8, 22.23mm, 7.75mm, Top, 90
R9, 24.77mm, 7.75mm, Top, 90
R10, 27.30mm, 7.75mm, Top, 90
R11, 29.85mm, 7.75mm, Top, 90
R12, 32.38mm, 7.75mm, Top, 90
R13, 34.93mm, 7.75mm, Top, 90
R14, 37.47mm, 7.75mm, Top, 90
R15, 40.01mm, 7.75mm, Top, 90
R16, 42.55mm, 7.75mm, Top, 90
R17, 4.45mm, 35.69mm, Top, 270
R18, 6.99mm, 35.69mm, Top, 270
R19, 9.53mm, 35.69mm, Top, 270
R20, 12.07mm, 35.69mm, Top, 270
R21, 14.61mm, 35.69mm, Top, 270
R22, 17.14mm, 35.69mm, Top, 270
R23, 19.69mm, 35.69mm, Top, 270
R24, 22.23mm, 35.69mm, Top, 270
R25, 24.77mm, 35.69mm, Top, 270
R26, 27.30mm, 35.69mm, Top, 270
R27, 29.85mm, 35.69mm, Top, 270
R28, 32.38mm, 35.69mm, Top, 270
R29, 34.93mm, 35.69mm, Top, 270
R30, 37.47mm, 35.69mm, Top, 270
R31, 40.01mm, 35.69mm, Top, 270
R32, 42.55mm, 35.69mm, Top, 270
R33, 7.90mm, 22.20mm, Top, 270
R34, 10.10mm, 22.20mm, Top, 270
R35, 9.70mm, 31.90mm, Top, 270
R36, 37.90mm, 30.80mm, Top, 0
